Day,ACC,RMSE
1,0.9552992533825689,0.010120006959379238
2,0.9355697524644929,0.013394514368917915
3,0.9215891864122943,0.015501842246843452
4,0.9106029594003378,0.017096489477380676
5,0.9016935658382327,0.018381051834848314
6,0.8938297100466442,0.01946199945875508
7,0.8870207240242108,0.020385742430344928
8,0.8808357583606774,0.02119646795787863
9,0.8752262289904628,0.02191941964770256
10,0.8700628591058664,0.022564016595657682
11,0.8653017443104297,0.023148537066821285
12,0.8609289355834564,0.02368088138368777
13,0.8567366155533858,0.024168568981626306
14,0.852914827817042,0.024614511339987873
15,0.8493316369408844,0.025028406078334498
16,0.8460039177104071,0.025417224320139285
17,0.8428497090949377,0.025782934361274067
18,0.8398835741847956,0.026127779724643765
19,0.8369897303634953,0.026454666107184263
20,0.8342978943457817,0.02676391459092776
21,0.8316754503991542,0.027057257614002073
22,0.829264698581833,0.027334538341390192
23,0.8268033162754992,0.027600125507555296
24,0.8244746058579131,0.027854086001722574
25,0.8221483079037474,0.028097113233387577
26,0.8198551856088224,0.028332330856845084
27,0.8176584550948353,0.028561153911226045
28,0.8155532416981823,0.028783230640067374
29,0.8136441480848619,0.02899299057513528
30,0.8117284470423217,0.029196711778144157
